Question_title,questions_description,Answer
Lessons from the Bench,Describe how a passion or individual talent has shaped you into the person you are today.,"I began taking piano lessons when I was five years old. My parents later told me that the instrument’s ivory keys, which sounded so sweet one moment and so intense the next, mesmerized me. I longed to lovingly stroke those eighty-eight keys and convey my emotions to my audience, expressively connecting with the music on a personal level I could only dream of. What began as an innocent desire to create beautiful music transformed into a profound passion, fueled by sincere focus and dedication.I feel that playing the piano has developed me as a person, and each time I sit down to play, I learn new lessons from the bench. Music has given me the desire to strive for excellence in anything that I attempt. From enrolling in advanced classes to exerting myself in my daily workouts, my ardent desire for precision encourages me to attempt new tasks with a clear perspective. Yet, music has also taught me patience and acceptance. I avidly continue studying the components of a piece until I find exactitude in my playing. I have also learned not to become worked up when I miss a note or mistakenly interpret the cantible style of a measure. Each time I encounter a challenging rhythmic section or a rapid chordal progression, I allow my mind to search for a fresh viewpoint as I condense my problems into manageable sections. Whenever I become discouraged, I am reminded of my teacher’s straightforward mantra, “Simplify, pre-plan, and see the perspective,” I regroup my thoughts, take a breath, and try the section again. The lessons of dedication and focus learned at the bench have impacted me so strongly that I have transferred these teachings into my personal development. My fierce desire for excellence is also evident in my academic achievements, as I maintained a 4.0 GPA while enrolled in college classes during my senior year. When discouraged over a difficult subject or one of life’s challenges, I stimulate my mind and body for success as I remind myself of the rewards which ensue from hard work, patience, and dedicated focus. Simplification is perhaps one the greatest lessons I have mastered. When demanding circumstances arise, I challenge myself to attack the difficulty one step at a time, just like I tackled “Erlkönig” one measure at a time. Simplification provides me with the clarity to solve complicated problems.After years of practicing music, I have developed an intense bond with my instrument, a bond that has led me to strive fervently for improvements in my personal growth. Playing the piano is not merely a vocation, but a passion. Every evening, I yearn to pour my heart and soul into those eighty-eight keys. From its tiny hammers to its brass pedals, the piano has become my love, my teacher, and my greatest joy. Whatever obstacles may hinder my path, I am confident in my ability to overcome them, using all that I learned in all those lessons from the bench."
Hip Hop,"Evaluate a significant experience, achievement, risk you have taken, or ethical dilemma you have faced and its impact on you.","“Understand the meaning of MC. The power to Move the Crowd like Moses splits the seas.” Remembering the lyrics of Talib Kweli, my favorite rapper, I rapped, surrounded by a small crowd on the streets. As I stole glimpses of teens in their oversized sweaters and baggy jeans throwing their hands in the air and swaying them left and right, I felt as if I were a talented rapper – a real MC.“Hip hop is for African Americans,” retorted my English literature teacher after overhearing my views on rhymes in rap music. He argued that a middle class Asian girl’s mimicking an African American rapper’s style and lyrics wouldn’t make her an authentic artist. Though I wanted to fight back, I found myself unable to offer a counter argument.That night, I sent an e-mail to Vanessa Diaz, the director of the Cuban hip hop documentary, , which had mesmerized me only a few nights ago, explaining what had happened during that class – and the problems of expressing myself through hip hop. Through her lengthy reply that arrived after many days, I learned that the Cubans and African Americans had gone through similar predicaments – poverty and oppression – and thus adopted similar music as a means of expressing their sufferings. Toward the end, she added, “What kind of strife are you going through?”To that question, I was dumbfounded. Perhaps, it was because I was too immature, inexperienced, or maybe because I was born to middle class comfort. Though my heart throbbed with the pulsating beats, my body swung to the smooth melody, and my eyes were enthralled with the flamboyancy, I then realized that I knew not the pains of oppression and deprivation the musicians rapped about. I knew I wasn’t faking it, but I wasn’t identifying with it either.So I stopped rapping. Rapping without consciousness, I thought, was like trying to pass for something that I was not. Days had passed when Jin, a member of the school rap group, called and asked, “Come and show how to freestyle.” “No,” my mind resisted, but before I knew it, the rhythm of the body had already swept through my small frame. “Give her the beat!”Riding the Talib Kweli quadruple beats, I rapped Korean rhymes mixed with my hometown dialect – about suffocating competition at school, about the estrangement I felt living alone to continue my studies, about a friend who refused to talk to me for days, about the xenophobic tendency of certain Koreans, and about a few populist politicians’ branding us, foreign language school students, “elitists.” None of my stories actually coincided with those of African American or Cuban rappers, but the lyrics this time were fully mine.Hip hop is a vessel through which one molds and refines one’s identity. I was initially attracted to certain beats, particular rhymes, and the unrefined swagger the musicians embodied. But now I know, whether I am African American, Cuban or Korean, that this music is a way of figuring out who I am."
The Balcony ,"Describe a place or environment where you are perfectly content. What do you do or experience there, and why is it meaningful to you?","This is the balcony that extends into infinite dimensions. Inside: paintings and the smell of dusk. Lined against the tiled walls are canvases both void and filled. A soft light overhead. There is something extremely calming about occupying this platform, transforming it into surreal dimensions. In the studio I am expanding both into my mind space and the concrete space of my artwork.Very often, a friend would read my poetry, view my paintings, and ask:I am never really sure how to answer. To be honest, I have never found any conceptual disparity between visual art and the written form. My urge to create, or express, is like letting out a breath of air. And by creating art, I am able to crystallize that exhalation and preserve it forever. When I paint, language and brushstrokes coalesce into the same motive: to translate my cognitive abstractions into concrete expressions. To tentatively let you into my mind space, this is the trance-like state I fall into when creating: the sky is a stretch of watercolor spreading into little streams, telegraph poles streamlining my ideas into electric currents, reverberating into houses; electric wires gone loose. And beside the overarching landscape, materializes the side portrait of my mother. The silhouette of a slender arm, then the shoulder's precise curvature.Some people say that art is cathartic. That statement is only half-true. In the very beginning, creating each artwork is like wrestling forever with an unknown contender who seems to come from the realm of artistic perfection. Even when my artwork is finally polished and displayed under the glowing light of art exhibitions, I am not lost in the applause. Interlaced with each brushstroke and each nuance of color is the memory of a self-limitation I've been able to conquer. Thus, out of all the artworks I've ever made, the ones I value the most are not necessarily the most aesthetically successful, but are the ones in which, like a war hero, I battled through to claim victory. In those rare, precious moments, when transfixed by the wild waltz of my imagination, I would feel as if I've reached the apex of divinity. Existing in between the initial concept and the unclaimed, unchartered space of the blank canvas, I've never stopped believing that a secret awaits--perhaps the truth to the wholeness of life, the interconnected beauty of the entire cosmos.The balcony door opens: I step away from its light, covered in paint. But I do not hurry to wash the colors off my skin. Instead, I let these chaotic remnants of my arduous creations stay, because after hours upon hours inching towards an artistic ideal, my body becomes at one with these brushstrokes, and I am no longer alone."
The Child Who Opened My Eyes,"Boston College: What contemporary issue or trend relating to politics, culture, and society, or foreign policy particularly concerns you and why? Yale: Please reflect on something you would like us to know about you that we might not learn from the rest of your application, or on something about which you would like to say more. You may write about anything—from personal experiences or goals to interests or intellectual pursuits.","Disgusted by the foul urban odors of Pakistan, my younger brother and I became possessed by the utility of our iPhones and remained confined within the walls of our uncle’s apartment. Eventually, my uncle became frustrated with our self-isolation and offered to take us on an “adventure.” In the minds of children, an adventure consists of going to a park or a skating arena. But we were in for a not-so-pleasant surprise.After a bumpy rickshaw ride through narrow streets and arid fields, we arrived at a plantation. Wandering through the rows of crops, I saw children using sharp tools in the scorching sun. We took a seat on a haystack and were joined by a young boy, whom I had seen working in the fields earlier. He told us about the long hours. He told us about the life-threatening injuries he suffered. He told us about the school he attended and the quality time his family used to spend together before a multinational company built a factory in town. Soon, the azan began to play, signaling the time for prayer. My brother and I headed home, both touched and troubled by the boy’s stories.The image of the boy stuck with me even after I returned to Dallas. To ease my queasy conscience, I began researching child labor, hoping this abuse was not widespread. To my disappointment, it was. The more I learned about the topic, the more frustrated I became. After surfing through what seemed to be a million links, I finally found one that relieved me. The article explained how region-wide boycotts encourage companies to implement better work environments. In that moment, I realized the power humans possess to encourage changes in longstanding practices.There are two types of change — positive and negative — and unfortunately, many companies pick the latter. However, as a tutor who makes money by helping students excel, I do not view business as a win-lose situation for myself and my students. Rather, I believe that business should and can be a win-win for both the company and the surrounding societies. Through impact investment, in which companies stimulate societal uplift alongside profits, businesses can help their own communities. By concentrating in business analytics and economics, I will ensure that business models serve disadvantaged rural societies. We must create a world where profit is not the only measure of prosperity."
Lost Election,"Please reflect on something you would like us to know about you that we might not learn from the rest of your application, or on something about which you would like to say more. You may write about anything—from personal experiences or goals to interests or intellectual pursuits. (Please answer in 500 words or fewer).","""So, vote O-, and let's soar!""A unanimous groan can be heard throughout the class as I flash a quick thumbs, mostly up to try to level out the resentment I just acquired through a tacky pun of a campaign slogan. Nonetheless, I leave the podium with a big, hopeful grin, but the subsequent election reveals that this effort was made in vain. No surprise there. I take my newest defeat with pride and greet our new student leader with a good-natured embrace.I have had a history of being labeled a ""try-hard,"" a label that no high-schooler really wants. But this never stopped me from doing what mattered most to me, even when my campaigns for leadership in my academic life have been crushed time and time again. Even when I was elected co-President of Mosaic club, which promotes understanding among all races, cultures, and people, I was ridiculed for my stance as a feminist and my status as a well-to-do white girl leading a diversity-centered extracurricular. Nevertheless, I carried on with trademark cheer, organizing events that made a positive change and tenaciously holding fast to an idea best conveyed by Mary Pickford: ""This thing we call failure is not the falling down, but the staying down.""Without countless losses, I would've had neither the ability nor the know-how to win. I never would've offered my candidacy for Governor during Arkansas Girls State – I'd already encountered enough failure at that point that the idea of another foiled election had lost its potency. I didn't arrive at the week-long civic education camp with a call to leadership ringing in my ears, but as I gradually gained the trust of over eight hundred girls, I realized that a loss in my race for Governor would still be a job well done. Then, I encountered a concept so foreign in my perception of my chance in political leadership: success. They were shouting my name, raising their hands in the shape of wings, inspired by my now-popular campaign slogan. Fast forward a month later at the Girl Up Leadership Summit in Washington D.C., where I am shaking the hand of First Lady Michelle Obama who told me that, yes, even I, the girl who couldn't be elected to be the hall monitor at her high school, much less class president, could be the President of the United States one day.After a whirlwind of an empowering summer, I returned to school in the fall with high hopes, which would never be dampened by another lost election."
Who Am I?,"Please reflect on something you would like us to know about you that we might not learn from the rest of your application, or on something about which you would like to say more. You may write about anything—from personal experiences or goals to interests or intellectual pursuits. (Please answer in 500 words or fewer).","“So, you’re like a plant, right?”Yep, exactly. My name is Katia, my favorite color is aubergine, and I’m secretly a plant because I don’t experience sexual attraction. How did you know?I found out I was asexual the summer after sophomore year. For years, I had defined myself largely by compulsory heterosexuality. I had rather forced crushes on boys, and certainly didn’t “look at girls the same way boys looked at girls,” as every lesbian YA novel phrases it. As I’d gone to Catholic school for the past ten years, there was no sex ed, and my best friend realized I should know the basics. My friend was a witty, fierce girl who I’d met on our school’s tennis team, who’d grown up self-confident in an artistic mecca that was a local Waldorf school, empowered in ways of sexuality where I was not. She told me what sexual attraction felt like, and slowly it all made sense. I’d never checked anyone out; I hadn’t had romantic dreams about anyone in middle school; I’d gone along with saving myself for marriage. Maybe I wasn’t as straight as I thought I was, and I was strangely okay with that. It felt realer to me than the black-and-white of sexual orientation I’d been introduced to before, the gay or straight dichotomy.I embraced my new identity, although adults around me replied with some variant of, “are you sure? Well, your orientation can change, you know.” Despite coming out publicly as asexual multiple times, most people older than me assumed I was gay or, most likely, straight. This invalidation of a central part of myself left me confused. To me, it seemed like an easy thing to accept. However, explaining it was surprisingly difficult; most people haven’t heard of anything like the Kinsey scale, and so eventually I learned to keep that information quiet. It became a “don’t ask, don’t tell” policy of my own making.As I became more comfortable with my sexual orientation -- or, perhaps more aptly, lack thereof -- I didn’t intentionally hide it anymore. I don’t mention it often, because when your sexuality is nonexistent, things like sexual attraction don’t come up in most conversations you have. That being said, I don’t feel ashamed of the person I am, unlike times in the past when I’d wished I could just be like everyone else. The people around me might not fully understand, and that’s fine. I don’t need to fit neatly into boxes. Last winter, I performed a slam poem about being asexual in front of more than a hundred people, and my performance ended in resounding applause. My identity is not for anyone else’s comfort or consumption; finally, I’m becoming proud of who I am."
History in the Eyes of the Beholder,Reflect on a time in the last few years when you felt genuine excitement learning about something.,"I stood in the Sainte-Chapelle, listening to the echoes of angelic choir voices, while a soft pink glow set over the whole room, filtering through the stained glass windows that cover the walls. Every crevice, every little detail can be seen while walking through; every relic that adorns the walls has a story to tell and offers onlookers a glimpse into the past. The light illuminates the detail on the altar’s metalworking and creates an aura that neither pictures nor an art history textbook can describe accurately.Studying the history of the Sainte-Chapelle while being there makes the learning three dimensional; the experience essentially provides a backdrop for the history itself. A significant intersection of textbook knowledge and first-hand experience occurs, heightening the learning process. The history of Sainte-Chapelle can be better understood when one views the magnificent display of both wealth and artistry, offering an explanation for the historical events that have occurred there."
"Good Game, Frank","Evaluate a significant experience, achievement, risk you have taken, or ethical dilemma you have faced and its impact on you.","There he is, clad in his “World’s Biggest Fish Fry” baseball cap, neon orange diabetic footsoles, and multicolored top hat à la Dr. Seuss. Four hundred and twenty pounds, bound to his high-backed leather armchair (driven with tender care all the way from humble Cincinnati), and a powerful, scruffy beard eclipsing his oxygen plug: this is Frank Lee, my final opponent at the National Scrabble Championship.As the result of my transformation from mild-mannered schoolboy to board game connoisseur and Scrabble junkie, I had been feverishly studying until this very moment: the climax of my amateur Scrabble career.The score is 386 to 326, my favor, and there is only one tile left in the bag. The board has practically become a New York Times Crossword, and not a meager Tuesday or Thursday; this is a full-fledged Sunday. Words like “IXIA” (defined as an African plant with sword-shaped leaves), “LEKU” (a monetary unit of Albania) and “UNAI” (a two-toed sloth) permeate our board; are we truly playing what some Merriam or Webster considered English words?As I gaze down at my score sheet, attempting to card-count the tiles and ascertain which ones are left, Frank warily examines his side of the chess clock, which reads 1:37, and he nervously plays a W to form “EWE” and “WE” for twenty points. The bag is now empty, and this great, grey grizzly bear of a man now has one minute and thirty seven seconds left, out of his original 25 minutes, in order to gain forty more points.By the time Frank apprehensively announces “twenty” as his score, I had figured out that the remaining tiles were I, O, N, P, R, S, and another W, an intimidating rack. To block the final Triple Word Score, I play the perfectly pleasant word “URIC,” meaning derived from urine. I announce my meager six-point gain and wait with trepidation for Frank to make his final move. Something is out of place.After I play my word, Frank’s eyes grow large under his Technicolor bifocals. The clock is ticking down, 37, 36, 35, and soon Frank utters a mammoth sigh and places his S next to the U of “URIC,” forming “US.” I smile; Frank is almost definitely going to play “OWNS” or “WINOS” and I will handily win the game. But then, I see it: an E. I look frantically down at the results of my tile counting again and again, but still do not see an E in what I had calculated. Soon, all of his letters come onto the board at once, forming “ORPINES,” a plant with purple flowers also called a ‘live-forever.’ It dawns on me that I had miscounted the tiles and forgotten to cross off Frank’s W from “EWE.”My jaw drops almost to table level. Frank had used all of his letters at once, thereby getting a 50-point bonus to his score. He wins the game 425-392. The perfect irony of the situation… the perfect irony of the word itself! I had arrogantly thought that I was the one who would be celebrating, but humble Frank Lee is the one who remains standing (sitting) with the single word that would ‘live forever’ in my mind.My head hits the table, one of the ubiquitous pieces of folding plastic that dominate the room. How could I be so idiotic? How could I make such a critical mistake? How, how how? But as I sit, silently berating myself to no end, Frank looks up at me and says, “I take no pleasure in that win Christopher.”I slowly lift my head to see his weathered blue eyes looking genuinely back at mine. He pauses, and it seems to me as though the whole room had gone silent. He looks at me more sincerely than ever before, an impenetrable, wholehearted gaze into my eyes. “I hope you can leave knowing that you’ve come away from this tournament with a better prize than anyone could have given you Christopher, because you deserve to be happy, and you deserve to be happy with what you’ve become.”The words, the points, and the money all disappear. I look around the room and realize that I am not surrounded by diehard competitors who play this odd game for fame and glory, but by people just like me who had wanted to join this eccentric subculture, who had wanted to finally be accepted in their lives. For us, Scrabble is not about satisfying a vain addiction to competition, but rather about the heartfelt players like Frank Lee who have come together to support one another and their love for the game, foibles and all. I am not playing this game for dollars and cents; I am playing it for a sense of family.Across the table is not just a man with a striped hat, an oxygen tank, and orange diabetic footsoles; this is a man who had been taken under the wing of our minuscule clique of players, and accepted just the way he is: as a lover of language and a man of honor. Good game, Frank."
The Third Shot,"Some students have a background or story that is so central to their identity that they believe their application would be incomplete without it. If this sounds like you, then please share your story.",
Why Yale Engineering?,Why Yale Engineering?,"When my mother caught the flu last winter, I researched the developmental process of Tamiflu, the medicine she was prescribed, and how it operated to prevent the disease from progressing. I learned how researchers identified a specific protein used for viral transmission, utilized computational tools to identify a potent inhibitor, and brought their findings into clinical use through laboratory experiments. It fascinated me how a simple discovery of a viral protein could lead to something much greater, improving the health of millions. Engineering defines this same innovative process that I love: the application of scientific discoveries to the real world. It is the giver of life to pure research, building up simple concepts like proteins into groundbreaking inventions like anti-flu drugs. I want to be on the forefront of this revolution. I want to become a biomedical engineer.However, I face a dilemma: I have only experienced the initial phase of this process. Having the opportunity to design cancer vaccines, develop new chemotherapy treatments, and even grow miniature organs in a cell culture dish has exposed me to the discovery side of engineering, the initial spark that starts it all. Yet, to aid patients in the future through these findings, I need to understand how these discoveries are translated into tangible practicality. So, my love for pure research clashes with my fascination with real-world environments. Through extemporaneous speaking, I have studied topics ranging from the ramifications of US containment policies of malaria to the economic effects of the pharmaceutical industry in domestic markets. How can engineering reconcile laboratory experiments with financial needs, humanitarian efforts, or political events? I recognize that engineering can act as an omnipotent force that encompasses pure science with societal circumstances to advance the human condition. Now I seek to control and understand that power.Yale Engineering harmonizes these two concepts and provides the perfect environment to fuse the most helpful disciplines of study into one super-solution. In state-of-the-art laboratories, my ""discovery"" side would be thrilled to continue my scientific pursuits. I would like to explore the application of cutting-edge innovations to medical issues, such as how magnetic nanotubes act hand-in-hand with the biological immune system to treat tumors in the Fahmy lab. Through Yale Engineering, I can then place my scientific pursuits into context by researching the worldly challenges that my innovations can meet. In particular, I am looking forward to taking ""Biotechnology and the Developing World"" to better understand how innovations are implemented to address needs in developing countries. Additionally, I plan to engage with the Center for Biomedical and Interventional Technology (CBIT) to understand the economic and business aspects of translating an idea into a novel medical technology."
Plastic Surgeon,"If you selected one of the computer science or engineering majors, please tell us more about what has led you to an interest in this field of study, what experiences (if any) you have had in computer science or engineering, and what it is about Yale’s program in this area that appeals to you. (Please answer in 500 words or fewer).","Eight years ago, I was a plastic surgeon – then again, anyone could say that after watching an entire season of Dr. 90210.My mother was my main patient, with the tummy tuck being her favorite procedure. Instead of a scalpel, my most faithful tool was a purple Crayola marker. The process of performing a tummy tuck is an exact science: you must remove the exact amount of excess skin, tighten the abdominal muscles to the exact degree, and suture the incision with exact tightness. The precision and tedium required of a surgeon only satisfied me, feeding my perfectionist tendencies. Just as I thought that I was going to be the next Dr. Robert Rey, everything changed.The summer prior to sixth grade, I had the privilege of attending the Miami PREP Summer Program at Florida International University (FIU), which is a STEM-focused program for students in elementary and middle school. My favorite course was Introduction to Engineering (IE). In IE, the teacher, Ms. Sara Zapata, hosted a plethora of guest speakers – all engineers. My favorite speaker was Ms. Ranu Jung, Ph.D.: the chair of FIU’s Department of Biomedical Engineering. She defined biomedical engineering as “the marriage of mathematics and medicine,” even showing the IE class research projects that the Department of Biomedical Engineering was working on.It was in that moment that I made a life-changing connection: Dr. Ranu Jung’s words and my older brother’s cardiac arrest the previous year. Biomedical engineers played a crucial role in his survival. Hence, I realized that biomedical engineering was much more than “the marriage of mathematics and medicine.” It is having the power to save lives through the medical knowledge required of doctors and the problem-solving skills required of engineers.Nonetheless, there was one crucial aspect of biomedical engineering that I had not been exposed to: design. However, last summer, I occasionally went with my older brother to his job as a project engineer at HEICO Aerospace (also known as Jet Avion) – a company based in Hollywood, FL that “designs, manufactures, and sells aerospace-related products and services throughout the world.” In my excursions to Jet Avion, Carlos showed me how he works with Autodesk Inventor (an industry-standard Computer Aided Design program) in designing a plethora of aircraft engine and non-engine mechanical devices, like diaphragms and piston rings.Yale’s Department of Biomedical Engineering offers me the opportunity to better understand the human body from the perspective of an engineer. In particular, I am eager to take advantage of the cutting-edge research opportunities offered in Tissue Engineering – my area of interest. For instance, instead of merely learning about coronary bypasses in a textbook, I could work with Dr. Laura Niklason in “developing engineered arteries for coronary bypass procedures.” Essentially, Yale’s School of Engineering and Applied Science will provide me an education that will simultaneously give me the mind of a doctor and an engineer, leading me to success in clinical and industrial environments."
